Seconds,Data,value,Altitude
1497697349,prateek,31.3722279499,
1497697350,prateek,30.5666081971,
1497697351,prateek,32.9992492036,
1497697352,prateek,34.1342210578,
1497697353,prateek,33.321330217,
1497697354,prateek,33.3669884972,
1497697355,prateek,31.9444525967,
1497697356,prateek,31.8421274169,
1497697357,prateek,31.3355157714,
1497697358,prateek,31.295422519,
1497697359,prateek,33.9145855307,
1497697360,prateek,34.0697438188,
1497697361,prateek,34.257435212,
1497697362,prateek,32.4097981341,
1497697363,prateek,33.8465322511,
1497697364,prateek,33.3998078093,
1497697365,prateek,33.3068845809,
1497697366,prateek,19.0842865067,
1497697367,prateek,17.6540039634,
1497697368,prateek,18.7439659705,
1497697369,prateek,17.9396445327,
1497697370,prateek,18.6787624652,
1497697371,prateek,36.3229673909,
1497697372,prateek,35.7789159248,
1497697373,prateek,34.1455402583,
1497697374,prateek,18.1150690304,
1497697375,prateek,17.752694701,
1497697376,prateek,17.769792738,
1497697377,prateek,32.7933634777,
1497697378,prateek,36.105157302,
1497697379,prateek,37.1753291209,
1497697380,prateek,34.1803811593,
1497697381,prateek,34.236438662,
1497697382,prateek,34.7621457159,
1497726456,prateek,33.7226063457,
1497726457,prateek,18.7773370875,
1497726458,prateek,24.5808336614,
1497726459,prateek,25.4798175497,
1497726460,prateek,14.6701364636,
1497726461,prateek,20.8690158559,
1497726462,prateek,32.24337346,
1497726463,prateek,19.8143772444,
1497726464,prateek,16.0496905885,
1497726465,prateek,23.3957485158,
1497726466,prateek,18.5641211898,
1497726467,prateek,24.003177804,
1497726468,prateek,32.2868827465,
1497726473,prateek,29.1600130914,
1497726474,prateek,29.9806990387,
1497726475,prateek,31.9737597398,
1497726476,prateek,29.4221726595,
1497726477,prateek,33.1666509496,
1497726478,prateek,23.2904800621,
1497726479,prateek,36.3736547259,
1497726480,prateek,29.610242701,
1497726482,prateek,30.2002297162,
1497726483,prateek,27.755203003,
1497726484,prateek,24.3079876258,
1497726485,prateek,21.7198136593,
1497726487,prateek,17.3794210076,
1497726488,prateek,23.6857786627,
1497726489,prateek,23.6361577383,
1497726491,prateek,32.4619302416,
1497726492,prateek,24.5309019816,
1497726493,prateek,28.764007145,
