Seconds,Data,value,Altitude
1497697349,EAR,31.3722279499,
1497697349,Threshold,15.0,
1497697350,EAR,30.5666081971,
1497697350,Threshold,15.0,
1497697351,EAR,32.9992492036,
1497697351,Threshold,15.0,
1497697352,EAR,34.1342210578,
1497697352,Threshold,15.0,
1497697353,EAR,33.321330217,
1497697353,Threshold,15.0,
1497697354,EAR,33.3669884972,
1497697354,Threshold,15.0,
1497697355,EAR,31.9444525967,
1497697355,Threshold,15.0,
1497697356,EAR,31.8421274169,
1497697356,Threshold,15.0,
1497697357,EAR,31.3355157714,
1497697357,Threshold,15.0,
1497697358,EAR,31.295422519,
1497697358,Threshold,15.0,
1497697359,EAR,33.9145855307,
1497697359,Threshold,15.0,
1497697360,EAR,34.0697438188,
1497697360,Threshold,15.0,
1497697361,EAR,34.257435212,
1497697361,Threshold,15.0,
1497697362,EAR,32.4097981341,
1497697362,Threshold,15.0,
1497697363,EAR,33.8465322511,
1497697363,Threshold,15.0,
1497697364,EAR,33.3998078093,
1497697364,Threshold,15.0,
1497697365,EAR,33.3068845809,
1497697365,Threshold,15.0,
1497697366,EAR,19.0842865067,
1497697366,Threshold,15.0,
1497697367,EAR,17.6540039634,
1497697367,Threshold,15.0,
1497697368,EAR,18.7439659705,
1497697368,Threshold,15.0,
1497697369,EAR,17.9396445327,
1497697369,Threshold,15.0,
1497697370,EAR,18.6787624652,
1497697370,Threshold,15.0,
1497697371,EAR,36.3229673909,
1497697371,Threshold,15.0,
1497697372,EAR,35.7789159248,
1497697372,Threshold,15.0,
1497697373,EAR,34.1455402583,
1497697373,Threshold,15.0,
1497697374,EAR,18.1150690304,
1497697374,Threshold,15.0,
1497697375,EAR,17.752694701,
1497697375,Threshold,15.0,
1497697376,EAR,17.769792738,
1497697376,Threshold,15.0,
1497697377,EAR,32.7933634777,
1497697377,Threshold,15.0,
1497697378,EAR,36.105157302,
1497697378,Threshold,15.0,
1497697379,EAR,37.1753291209,
1497697379,Threshold,15.0,
1497697380,EAR,34.1803811593,
1497697380,Threshold,15.0,
1497697381,EAR,34.236438662,
1497697381,Threshold,15.0,
1497697382,EAR,34.7621457159,
1497697382,Threshold,15.0,
